Question,Correct Answer,Incorrect Options,Chapter
What makes a pinhole camera impractical?,The image becomes too dark for practical purposes.,"['The pinhole camera is too large to be practical.', 'The pinhole camera produces only grayscale images.', 'The pinhole camera cannot capture moving objects.', 'The image becomes too bright for practical purposes.']",Chapter 1
"If the F-number changes from f/4 to f/8, how much longer exposure time is needed to keep the brightness level the same?",4 times longer exposure time.,"['2 times longer exposure time.', '6 times longer exposure time.', '5 times longer exposure time.', '3 times longer exposure time.']",Chapter 1
What causes chromatic aberration?,Light is refracted differently in the lens depending on its wavelength.,"['Light is absorbed differently in the lens depending on its wavelength.', 'Light is scattered differently in the lens depending on its wavelength.', 'Light is polarized differently in the lens depending on its wavelength.', 'Light is reflected differently in the lens depending on its wavelength.']",Chapter 1
"In the thin lens model, if the object is infinitely far away from the camera, what is the distance from the lens where the image is focused?",The distance is the same as the focal length.,"['The distance is infinite.', 'The distance is zero.', 'The distance is half the focal length.', 'The distance is twice the focal length.']",Chapter 1
Why are there twice as many green pixels as blue and red pixels in the Bayer pattern CFA?,Human eye is more sensitive to green.,"['Human eye is less sensitive to green.', 'Energy content of green light is the lowest.', 'Green pixels are cheaper to produce.', 'Energy content of green light is the highest.']",Chapter 1
What is the purpose of white balancing in the camera image processing pipeline?,It ensures correct reproduction of the image colors.,"['It optimizes the image for low light conditions.', 'It maximizes the dynamic range between black and white.', 'It balances the exposure levels of the image.', 'It improves the overall brightness of the image.']",Chapter 1
"In the pinhole camera model, what happens to the image when the focal length is doubled?",The image becomes two times bigger.,"['The image remains the same size.', 'The image becomes two times smaller.', 'The image becomes inverted.', 'The image becomes blurry.']",Chapter 1
How is color temperature related to black body radiation?,Color temperature is the temperature of a black body that emits light of a specific color.,"['Color temperature is the temperature at which a black body emits light of all colors.', 'Color temperature is the temperature at which a black body reflects all incident light.', 'Color temperature is the temperature at which a black body absorbs all incident light.', 'Color temperature is the temperature of a black body that absorbs light of a specific color.']",Chapter 2
What factors affect the brightness of the observed point under diffuse reflection?,"['Albedo', 'Angle between the surface normal and the light source direction', 'Light source intensity']","['Angle between the light source direction and the viewing direction', 'Angle between the surface normal and the viewing direction']",Chapter 2
What does a specular highlight represent?,A reflection of the light source on a highly polished surface.,"['A scattering of light in all directions from a matte surface.', 'A refraction of light through a transparent object.', 'A shadow cast by an object when light is blocked.', 'A reflection of the light source on a rough surface.']",Chapter 2
Why are color histograms invariant to spatial transformations such as translation and rotation?,Because color histograms ignore the spatial arrangement of pixels and focus solely on the distribution of colors.,"['Because color histograms prioritize central image colors, reducing the impact of surrounding areas during spatial transformations.', 'Because color histograms adjust color values based on geometric transformations, compensating for any changes in position or orientation.', 'Because color histograms utilize transformation-invariant features that realign colors after any spatial modification.', 'Because color histograms encode the exact positions of colors within the image, ensuring consistency even when the image is rotated or translated.']",Chapter 2
What is the problem with measuring distances in the RGB color space?,Distances in RGB space do not correspond to perceived color differences.,"['RGB color space cannot represent distances of colors with high luminance.', 'Distances in RGB space do not correspond to physical color differences.', 'Measuring distances in RGB space is computationally inefficient.', 'RGB space lacks the ability to represent transparent color differences.']",Chapter 2
What happens to the surface brightness if the distance between the surface and the light source is doubled?,The brightness decreases to 1/4 of the original.,"['The brightness increases fourfold.', 'The brightness doubles.', 'The brightness is halved.', 'The brightness remains the same.']",Chapter 2
Why can't the sRGB color space reproduce all visible colors?,"Because the sRGB primaries are positioned within the chromaticity diagram, restricting reproducible colors to those inside the triangle they define.","['Because sRGB uses a limited bit depth, preventing it from representing a wide range of colors accurately.', 'Because sRGB relies on outdated color measurement techniques, reducing its ability to cover the full spectrum of visible colors.', 'Because sRGB does not include a luminance component, making it unable to represent certain shades and tints.', 'Because sRGB is optimized for print media, which limits its effectiveness on digital displays.']",Chapter 2
When is image filtering useful in machine vision and what problems it may cause?,"Image filtering is useful for removing irrelevant information such as noise, but it can also change the information we are interested in.","['Image filtering is useful for adding special effects to an image, but it can cause the image to lose its original quality.', 'Image filtering is useful for compressing an image, but it can cause the image to lose important details.', 'Image filtering is useful for increasing the resolution of an image, but it can cause the image to become blurry.', 'Image filtering is useful for enhancing the colors in an image, but it can cause the image to become saturated.']",Chapter 3
What is the purpose of connected component analysis? In what case is it unnecessary?,To identify and assign unique labels to individual objects; it is unnecessary when there is only one object in the image.,"['To identify and assign unique labels to individual objects; it is unnecessary when there are multiple objects in the image.', 'To apply color filters to different parts of the image; it is unnecessary when the image is already in grayscale.', 'To increase the contrast between objects and the background; it is unnecessary when the background is already distinct.', 'To apply color filters to different parts of the image; it is unnecessary when objects have uniform color.']",Chapter 3
"Why is the RGB color space not ideal for performing color segmentation, and why is the normalized rg space considered a better alternative?","Because RGB components are highly correlated, making them less effective for segmentation, whereas the normalized rg space reduces the influence of illumination.","['Because RGB cannot represent certain colors accurately, whereas the normalized rg space expands the range of colors that can be represented for better segmentation.', 'Because the color resolution in the RGB space is too low for segmentation, whereas rg space has higher resolution, making it more effective for color segmentation.', 'Because the RGB color space has too many dimensions, making computations slow, while the normalized rg space simplifies the process by reducing the number of dimensions.', 'Because RGB colors do not provide reliable information in low-light conditions, while rg space is invariant to brightness changes.']",Chapter 3
Why is edge detection typically not preferred for performing image segmentation?,"Because edge detection often results in noisy and discontinuous boundaries, making it challenging to accurately segment images.","['Because edge detection can only identify horizontal and vertical edges, limiting its effectiveness in complex images.', 'Because edge detection requires excessive computational resources, making it impractical for real-time applications.', 'Because edge detection does not work well with grayscale images, which are commonly used in image segmentation.', 'Because edge detection algorithms are incompatible with most image file formats used in segmentation tasks.']",Chapter 3
"In an image containing a perfect circle and a perfect square without any pixelization, what are their corresponding complexity (C1) values, where C1 is defined as in the lecture material?","Circle: 4π (≈12.6), Square: 16","['Circle: π (≈3.14), Square: 16', 'Circle: 4π (≈12.6), Square: 8', 'Circle: 2π (≈6.28), Square: 8', 'Circle: 2π (≈6.28), Square: 4']",Chapter 3
"Based on the lecture material, how would you test if two face images represent the same person using LBP?","Split each face image into smaller blocks, compute LBP histograms for each block, concatenate them to form feature descriptors, and compare the descriptors for similarity.","['Divide each face image into color channels, compute separate LBP histograms for each channel, average these histograms, and compare the averaged histograms for similarity.', 'Use LBP to create a binary pattern for each face image and input these patterns into a neural network trained to classify whether the two patterns belong to the same person.', 'Apply LBP to extract edge features from each face image and perform a pixel-by-pixel comparison of these edge maps to verify if the faces match.', 'Convert each face image to grayscale, generate a single global LBP histogram for each image, and compare these histograms to determine if they represent the same person.']",Chapter 4
Why cannot texture be recognized based on the color histogram?,Because color histograms do not contain spatial information.,"['Because texture does not carry any information about colors.', 'Because texture is only related to shape features.', 'Because texture recognition requires segmentation.', 'Because color histograms have too many dimensions.']",Chapter 4
What is the challenge when using Gabor filters to represent texture?,Gabor filters require careful selection of the parameters to ensure effective texture representation.,"['Gabor filters are insensitive to changes in scale, making them ineffective for multi-scale texture analysis.', 'Gabor filters can only be applied to grayscale images, limiting their use with color textures.', 'Gabor filters are unable to capture orientation information in textures.', 'Gabor filters significantly increase the computational complexity of image processing tasks.']",Chapter 4
What makes texture segmentation more challenging than color segmentation?,Because texture boundaries are not well-defined as they are computed over neighborhoods.,"['Because texture segmentation requires more computational power than color segmentation.', 'Because texture segmentation is limited to grayscale images.', 'Because color features contain more information than texture features.', 'Because textures are less uniform than colors in most images.']",Chapter 4
Why does pixel-by-pixel comparison of images not work in texture analysis?,Because image patches that contain the same texture look similar but do not usually align perfectly.,"[""Because pixel-by-pixel comparison is too computationally intensive, so it's better to use color histogram comparisons instead."", 'Because pixel-by-pixel methods require color images to be converted to binary images before comparison.', 'Because pixel-by-pixel comparison cannot handle large variations in image contrast.', 'Because pixel-by-pixel comparison cannot handle large variations in image brightness.']",Chapter 4
What is the purpose of using vector quantization in texture analysis?,To reduce the number of bins in the texture histogram by clustering high-dimensional feature vectors.,"['To separate different texture types by assigning unique feature vectors to each distinct texture pattern.', 'To increase the dimensionality of feature vectors, allowing for more detailed texture representations in the histogram.', 'To transform texture features into a lower-dimensional space for faster image processing and analysis.', 'To normalize the feature vectors, ensuring consistent scale and improving the accuracy of texture classification.']",Chapter 4
Under which circumstances do SIFT and other local feature descriptors fail to provide reliable matches?,When images contain similar or repeated details.,"['When images are captured under varying lighting conditions.', 'When the viewpoint differences of the images are relatively small.', 'When images have high contrast and distinct edges.', 'When the images do not contain color information.']",Chapter 5
